batch_id,copy_time_us,kernel_time_us
417,135.36,12.096
418,18.176,17.408
419,17.888,18.432
420,18.464,17.44
421,10.048,18.208
422,18.272,18.464
423,10.048,17.888
424,17.696,18.464
425,10.048,17.856
426,9.952,17.888
427,10.08,17.824
428,17.664,18.464
429,10.048,17.728
430,18.272,17.44
431,10.656,18.848
432,10.304,19.072
433,9.888,11.2
434,10.464,18.528
435,10.656,19.008
436,10.208,18.112
437,17.856,18.464
438,17.472,18.4
439,9.888,17.856
440,17.504,18.464
441,17.44,18.464
442,18.432,17.44
443,10.016,17.92
444,18.432,17.44
445,10.112,18.432
446,17.344,18.432
447,17.728,18.464
448,17.44,18.464
449,17.952,18.432
450,18.496,17.408
451,9.952,18.208
452,18.592,17.28
453,17.536,18.464
454,18.304,18.464
455,10.08,18.688
456,9.824,17.92
457,10.08,17.76
458,17.344,18.304
459,18.08,18.432
460,17.92,18.464
461,10.112,17.632
462,17.408,18.464
463,17.536,18.432
464,17.536,18.432
465,17.504,18.464
466,18.784,17.12
467,17.376,11.296
468,17.856,18.432
469,17.952,18.432
470,18.24,17.44
471,17.696,14.368
472,17.28,18.432
473,18.496,17.408
474,17.92,18.432
475,9.952,18.4
476,16.96,11.296
477,18.048,18.304
478,17.888,18.432
479,17.984,18.464
480,9.952,18.88
481,17.728,18.464
482,17.472,18.432
483,17.504,18.464
484,17.376,19.072
485,16.992,18.752
486,16.16,19.072
487,16.608,18.976
488,17.472,17.728
489,16.064,19.072
490,16.512,18.048
491,17.088,17.728
492,15.648,19.072
493,17.344,18.752
494,17.184,17.696
495,17.152,17.728
496,15.584,19.072
497,17.056,17.728
498,15.904,18.752
499,16.96,18.752
500,16.928,17.728
501,16.96,18.72
502,16.768,17.728
503,17.408,18.048
504,16.864,17.728
505,10.048,18.112
506,18.144,18.464
507,18.496,17.408
508,17.568,18.464
509,17.504,11.328
510,18.112,17.44
511,10.08,18.848
512,10.016,17.856
513,10.08,17.632
514,18.112,18.432
515,10.016,18.752
516,10.112,17.792
517,10.304,17.984
518,10.816,17.152
519,10.336,18.144
520,10.208,17.6
521,9.952,17.824
522,17.696,18.464
523,10.048,18.336
524,10.368,17.312
525,10.272,17.888
526,10.368,17.664
527,9.952,17.248
528,18.272,18.432
529,18.144,18.432
530,10.368,18.56
531,9.984,17.76
532,17.792,18.496
533,18.016,18.464
534,10.112,18.464
535,10.016,17.92
536,17.152,11.168
537,10.304,17.632
538,10.368,17.536
539,10.048,18.464
540,9.984,11.616
541,10.24,16.544
542,10.4,18.752
543,17.632,18.432
544,17.696,17.44
545,17.408,11.328
546,10.496,18.24
547,10.304,17.408
548,10.368,17.856
549,10.368,18.624
550,10.432,18.304
551,17.664,11.296
552,10.528,18.208
553,10.368,17.888
554,10.048,18.624
555,9.92,18.368
556,17.152,11.296
557,10.08,18.24
558,17.92,18.784
559,17.376,16.704
560,17.504,17.728
561,16.928,18.752
562,17.6,17.728
563,16.896,18.752
564,17.568,17.728
565,17.024,17.728
566,17.184,17.728
567,17.056,17.728
568,17.12,17.728
569,16.832,18.688
570,17.568,17.728
571,16.992,17.728
572,17.184,17.728
573,17.088,17.728
574,17.152,17.728
575,17.12,17.728
576,9.408,19.072
577,17.376,17.728
578,17.12,17.728
579,17.056,18.752
580,16.864,17.728
581,17.376,17.728
582,17.728,17.728
583,17.472,17.728
584,17.056,17.728
585,17.376,17.472
586,16.352,19.072
587,16.992,17.76
588,17.184,17.728
589,17.056,17.696
590,17.088,17.696
591,17.12,17.728
592,17.568,17.728
593,17.408,17.44
594,10.464,17.152
595,17.536,11.328
596,10.176,17.568
597,18.272,17.44
598,10.112,17.664
599,17.792,18.304
600,10.176,17.824
601,10.048,17.856
602,17.632,18.464
603,17.568,18.464
604,10.208,18.24
605,18.048,18.464
606,10.144,17.76
607,10.048,17.664
608,10.016,19.008
609,10.016,17.76
610,10.112,17.696
611,10.144,18.144
612,9.92,18.848
613,10.144,18.4
614,17.888,18.496
615,17.376,18.464
616,10.208,17.632
617,10.048,19.008
618,10.112,17.856
619,10.016,17.76
620,17.888,18.432
621,10.144,17.632
622,10.016,17.792
623,10.08,18.016
624,10.08,17.6
625,10.08,18.176
626,9.984,17.856
627,10.208,17.6
628,10.08,17.728
629,17.728,18.464
630,9.952,18.656
631,10.24,19.04
632,10.08,17.824
633,17.984,18.432
634,10.112,18.624
635,10.144,17.92
636,10.144,17.92
637,10.144,17.696
638,17.728,18.464
639,10.048,18.432
640,10.048,18.176
641,10.016,18.464
642,17.536,18.464
643,10.176,17.632
644,10.144,17.696
645,9.984,17.792
646,17.6,18.496
647,18.4,17.408
648,17.888,18.464
649,10.08,18.24
650,10.048,18.112
651,10.016,17.696
652,36.928,15.872
653,10.016,17.696
654,17.504,18.464
655,10.208,17.536
656,9.888,19.2
657,17.6,18.464
658,10.272,17.472
659,18.464,17.408
660,9.888,17.888
661,10.176,18.112
662,17.44,18.496
663,10.112,17.664
664,10.144,17.728
665,9.92,18.848
666,9.984,18.976
667,10.016,18.336
668,17.536,16.704
669,17.248,17.728
670,16.896,17.728
671,17.088,17.728
672,17.632,17.728
673,16.928,17.728
674,16.992,17.728
675,17.088,17.728
676,17.408,17.728
677,17.376,17.728
678,17.088,17.728
679,16.8,17.728
680,9.76,18.208
681,17.696,17.728
682,17.408,17.44
683,16.96,17.76
684,17.408,17.728
685,16.48,19.072
686,16.064,10.88
687,16.064,10.944
688,16.928,17.728
689,18.176,18.368
